Name;AMER.EXPRESS;AOL TIME WARNER;AT & T;BLACK & DECKER;COLGATE - PALM.;FORD MOTOR;MCDONALDS;PFIZER;TEXAS INSTS.;WAL MART STORES
Week47;0.007480551;-0.02556213;-0.035496516;-0.023527197;0.03023146;0.040101042;0.015605648;0.007297605;-0.009583333;0.024594078
Week48;0.016038016;-0.054165655;-0.026191014;-0.047031611;0.002980284;-0.000910747;0.011463415;-0.010414308;-0.031552377;-0.00512701
Week49;0.051154633;0.119414484;-0.015998145;-0.021440129;-0.025828571;-0.008508052;0.013503738;-0.002059025;0.045178106;-0.004450691
Week50;0.047552836;-0.01078229;-0.000942507;0.048987185;0.060300328;-0.019920319;0.072091363;0.015359927;-0.039068994;0.051529412
Week51;0.092912132;0.111085343;-0.022169811;-0.014778325;0.034520912;-0.00750469;-0.008211274;0.058252427;0.061851211;0.066457821
Week52;0.033276658;0.211855563;-0.005306319;0.0276;-0.045561497;0.006616257;-0.021033788;0.017068487;0.065580448;0.030004196
Week53;-0.040197461;0.089390286;-0.002909796;0.074153367;0.043478261;0.000938967;0.010057143;-0.03671072;-0.058868502;-0.064167855
Week54;-0.012245898;0.185770751;-0.041342412;-0.002355499;-0.00128866;-0.03220763;0.032586558;0.013066202;0.052396426;0.015019591
Week55;0.055789735;0.07;0.068493151;0.010352343;0.024946237;0.077544426;0.027394258;0.020636285;0.062138171;0.096289942
Week56;0.046500705;-0.103551402;0;0.024627;-0.039446076;0.031784108;-0.056100683;-0.087405223;-0.014534884;-0.044014085
Week57;0.026256732;0.033361134;0.014957265;-0.051578947;0.079292267;0.018889858;0.009943503;-0.012924071;0.015855457;0.024350317
Week58;-0.013339165;-0.049098736;-0.063859649;0.035886053;0.012548067;0.025385054;-0.062877601;-0.096329203;-0.037023593;-0.063523771
Week59;-0.032136525;-0.153062668;0.165917041;0.055892857;-0.009994004;-0.047566064;-0.025549188;0.000517464;-0.004523181;-0.085324232
Week60;-0.047858942;0.107566394;-0.016288041;0.007272112;-0.023420149;0.016063084;0.001715266;0.015515904;0.060204468;0.09608209
Week61;-0.011063011;-0.023525863;-0.027668845;-0.050369375;0.012404383;-0.08766887;-0.020058708;-0.043035396;0.021071429;-0.053191489
Week62;-0.052529183;-0.104247104;-0.048397939;-0.00990099;0.026138452;-0.032451166;-0.052920619;-0.078765301;-0.063308849;-0.075730337
Week63;0.040554415;-0.088448276;-0.037673652;0.018928571;0.00318408;0.010094432;0.041117554;0.044771808;0.039581777;0.10624848
Week64;0.012333498;-0.002269718;-0.010521165;-0.048194883;0.006744694;-0.028691167;0.060253165;-0.08238872;0.129310345;-0.052087912
Week65;0.021442495;0.049099526;0.014094955;0.067943289;-0.01044335;-0.006637902;0.019340974;0.008737572;0.061386768;0.011592859
Week66;-0.045801527;-0.035598121;-0.005852231;0.037758621;-0.004978096;-0.01369863;-0.063012415;0.009259259;-0.006293078;-0.007334403
Week67;0.10925;0.050402848;0.046357616;0.051835853;-0.025615369;0.086720867;0.04225;0.106244451;0.066646562;0.10251674
Week68;0.004732928;0.138779879;0.033052039;-0.051334702;-0.03984391;-0.035224439;-0.025425762;-0.005082932;0.042408821;-0.015706806
Week69;0.003813369;-0.052318296;-0.053551169;0.01981352;0.061604278;-0.052988691;0.075313808;0.013444474;0.039056143;0.010638298
Week70;0.020558659;-0.08677686;-0.011268281;-0.027591837;0.026395325;0.008188332;-0.032959487;-0.066330592;-0.112503263;-0.048631579
Week71;0.01138603;-0.106425339;-0.02400582;-0.032404298;-0.03199843;-0.035871404;-0.013254438;-0.033816425;0.053235294;-0.02633326
Week72;-0.082701884;-0.149888596;-0.051428571;-0.048932847;-0.001216792;-0.06002106;0;-0.012941176;-0.025132645;-0.059545455
Week73;0.020769412;0.104836788;-0.044264013;0.001277139;-0.011370558;-0.033233757;-0.061405613;0.013110846;0.040103122;0.072498792
Week74;0.067514451;0.035152038;-0.005206906;0.007835277;0;0.066048667;0.052645029;0.036764706;-0.002478656;0.03785489
Week75;0.062594759;0.04625;0.036363636;0.020430302;0.129595399;0.024637681;0.019664967;0.122269504;0.096631695;0.027138515
Week76;-0.07684468;-0.091596973;-0.059011164;-0.062012757;-0.036363636;-0.013083451;-0.035714286;-0.039433771;0.066717019;-0.034242232
Week77;0.020313535;0.054800526;-0.010451977;0.021156026;0.047169811;-0.019706198;0.049382716;0.005;0.050271418;0.039614795
Week78;-0.01536464;-0.090191189;-0.021695689;-0.092489826;-0.072072072;0;0.007294118;-0.050798638;-0.015505618;-0.046105263
Week79;-0.008351648;-0.000685244;-0.067114094;-0.050958011;-0.053398058;-0.01498538;0.008876431;-0.017103448;-0.052727688;0.030456853
Week80;-0.002659574;0.189257143;0.025023459;-0.018685567;-0.061538462;0.021521336;0.00138921;0.007016559;-0.009156627;0.01863354
Week81;0.080444444;0.138766096;0.079035703;0.004158459;0.148852459;0.022520886;-0.00716763;0.07664437;0.069309339;0.078847771
Week82;-0.026532291;-0.029535865;-0.048076923;-0.024629468;-0.01065449;0.03268206;-0.030507685;-0.02433342;-0.033431885;0.020853635
Week83;0.020283119;0.062956522;-0.029411765;-0.061452514;0.110576923;0.001375989;0.016334374;0.107720881;-0.082352941;0.047728141
Week84;0.11141023;0.034849476;0.060606061;0;0.021645022;0.026794916;-0.035452612;-0.047904192;0.070512821;0.01585277
Week85;-0.091298677;0.139288538;0.042135642;0.110238095;-0.032881356;-0.027433924;0.107326636;-0.062893082;0.148982036;0.004484305
Week86;-0.003895838;-0.006938662;-0.045693714;0.019944242;0.016473887;0.003439972;0.040053109;-0.050201342;0.057327496;0.025714286
Week87;0.062577192;0.108300727;0.039756239;0.02628259;-0.021551724;-0.046966061;0;-0.044375353;-0.032728707;0.033774373
Week88;-0.012010849;0.05913504;0.118336589;-0.037082565;-0.019735683;0.01618705;-0.034468085;0.076013014;0.032613127;-0.024250589
Week89;0.004117647;-0.049047619;0.042176192;-0.070425532;0.013481934;-0.020530973;-0.004186866;-0.0104453;0.00177655;-0.005350362
Week90;0.040226518;0.076614922;0.042863985;0.105745022;0.048776162;-0.003975425;-0.01792432;-0.0625;0.0591133;0.075828562
Week91;-0.045053501;-0.001395349;-0.076693456;-0.00765887;-0.012683917;-0.01233672;-0.057908968;0;-0.068651163;0.106935484
Week92;0.043444073;-0.055309735;-0.016413827;0.024822695;0.072798904;0.062821455;-0.031332217;0.011259259;0.073711546;-0.018213609
Week93;0.040881688;-0.055466535;-0.041719343;0.020354162;-0.002075683;0.01417214;-0.017037037;-0.04219162;-0.075534884;0.006381716
Week94;-0.093574661;-0.08978207;-0.036147757;-0.013764213;-0.06496;-0.050102249;-0.023360965;-0.01162435;-0.059166834;-0.060758
Week95;0.038338658;-0.068100358;0.100739119;-0.03802589;0.109000684;0.043057051;0.088220165;0.139275766;0.094973262;0.022609515
Week96;-0.022884615;-0.015384615;-0.031584183;-0.091883936;-0.04428329;-0.022359821;-0.030961948;-0.027166531;0.102559094;-0.026869338
Week97;0.068884078;-0.03703125;-0.025423729;-0.079648067;-0.026315789;-0.037297678;-0.082195122;-0.03658196;0.001063076;-0.067055854
Week98;-0.000368256;-0.026448158;-0.002635046;0.022138365;-0.005140109;-0.02375731;-0.069891044;0.032753623;0.185840708;-0.012683917
Week99;-0.05139068;-0.025;-0.022192867;-0.061530889;-0.041666667;-0.035941595;0.014285714;-0.007016559;0.082089552;-0.007536828
Week100;-0.042524272;-0.097264957;0.008916509;-0.019669552;-0.061913043;-0.02407767;-0.049295775;-0.044375353;-0.013793103;-0.155333103
Week101;-0.121273575;0.136148457;-0.074450991;-0.075441413;-0.090470894;-0.073617191;-0.070222222;-0.022182786;0.103076923;-0.088067021
Week102;0.027463651;-0.0645;0.181134259;-0.079571759;0.072768039;-0.026202749;-0.015933716;-0.032062916;0.096741473;0.132870267
Week103;-0.080862534;0.086762872;-0.028907398;0.047154983;-0.163974919;0.005734451;0.03626943;0.0684375;0.04265896;-0.032041139
Week104;0.171065494;0.008196721;0.007063572;0.14259982;0.164772727;0.052631579;0.064375;0.067563615;-0.112983701;0.122599101
