Week;SmallME-LowBE/ME;SmallME-MedBE/ME;SmallME-HighBE/ME;BigME-LowBE/ME;BigME-MedBE/ME;BigME-HighBE/ME
Week182;2.18;1.19;1.53;-0.89;-1.28;-0.81
Week183;1.38;1.3;1.38;0.87;0.84;1.46
Week184;2.96;2.31;2;2.67;2.05;1.68
Week185;2.83;2.07;1.99;0.13;0.62;0.71
Week186;0.21;0.58;0.9;-0.7;-1.22;-1.4
Week187;-0.42;-0.06;-0.12;-0.56;-0.08;0.05
Week188;-0.72;-0.35;0.02;-1.35;-0.74;-0.65
Week189;-3.86;-1.83;-1.11;-2.26;-0.44;0.34
Week190;-0.41;0.01;-0.01;0.21;0.36;1.32
Week191;-2.01;-0.37;-0.3;-1.76;-1.43;-1.96
Week192;-7.13;-3.58;-2.79;-4.41;-2.09;-1.28
Week193;-0.61;-0.67;-0.82;-0.76;-1.29;-1.59
Week194;-4.37;-2.52;-1.89;-0.77;-0.84;-0.66
Week195;2.85;2.01;1.17;4.07;3.25;2.33
Week196;1.26;0.83;0.48;0.77;0.84;0.83
Week197;-0.05;0.45;0.8;-0.17;1.27;1.4
Week198;0.74;0.58;0.87;0.83;0.58;0.49
Week199;1.13;0.74;1;-0.35;-0.66;-0.97
Week200;-0.45;0.4;0.43;-0.21;0.39;-0.23
Week201;1.81;1.25;0.81;4;2.34;2.11
Week202;0.58;0.41;0.44;1.72;0.52;0.26
Week203;0.94;0.59;0.45;0.93;0.82;-0.28
Week204;0.2;0.55;1.01;1.23;2.05;1.66
Week205;-0.48;0.15;0.31;-0.69;-0.15;-0.43
Week206;-1.17;-0.08;0.17;0;0.95;0.81
Week207;-2.37;-0.65;-0.29;-2.05;-0.78;-0.08
Week208;-2.35;-0.99;-0.67;-0.81;0.14;0.72
Week209;-0.01;0.87;0.19;2.91;2.38;2.6
Week210;-0.11;0.75;0.52;0.74;1.66;1.3
Week211;-0.44;0.84;0.85;0.38;2.19;1.09
Week212;1.53;1.34;1.56;1.09;0.76;0.53
Week213;-0.49;-0.07;-0.77;-0.88;-0.91;-0.6
Week214;-0.38;-0.14;-0.06;-1.67;-1.62;-0.57
Week215;-0.9;0.55;0.42;0.86;2.12;1.31
Week216;-0.85;0.09;0.02;0.3;0.91;0.88
Week217;3.39;1.85;2.05;0.2;-0.53;-0.34
Week218;3.7;2.24;2.23;1.45;1.45;1.05
Week219;1;1.65;1.22;1.12;1.6;1.48
Week220;0.51;0.4;0.41;-0.28;-0.72;0.02
Week221;0.8;1.22;1.04;0.48;0.91;0.29
Week222;-0.74;-0.18;0.68;-0.96;0.13;0.19
Week223;-0.68;0.12;0.99;1.71;2.43;1.74
Week224;-1.42;0.45;0.2;-2.07;-0.37;-0.08
Week225;-1.93;-0.56;-0.24;-1.23;-1.04;-0.41
Week226;0.53;0.61;0.41;1.32;2.5;0.87
Week227;-1.93;-0.77;0.06;-1.06;-0.72;-0.58
Week228;-3.53;-1.54;-1.16;-2.67;-1.09;-1.37
Week229;-1.77;-0.72;-0.3;-1.23;-1.41;-0.84
Week230;-2.71;-2.01;-1.83;-1.85;-2.46;-2.23
Week231;-0.62;-0.22;0.06;-2.26;-1.27;-0.85
Week232;-0.72;0.12;0.4;0.81;2.18;1.54
Week233;-2.34;-0.72;-0.99;-1.75;-0.35;-1.25
Week234;3.65;2.66;1.52;7.76;5.33;3.77
Week235;3.26;2.2;1.29;2.24;1.49;1.7
Week236;1.05;1.16;1.24;1.1;1;1.04
Week237;2.46;1.96;1.45;2.73;1.57;1.01
Week238;1.09;1.52;1.17;1.63;0.75;1.14
Week239;1.87;2.17;1.84;0.42;1.49;0.91
Week240;0.13;0.84;0.95;1.7;2.72;2.68
Week241;0.4;0.52;1;1.2;0.97;0.31
Week242;-0.39;0.94;1.09;-0.56;-0.78;-0.19
Week243;1.02;1.32;1.49;2.48;2.44;1.93
Week244;1.16;1.33;1;1.68;0.74;1
Week245;1.01;1.39;0.68;0.92;0.26;-0.53
Week246;0.47;1.11;0.95;1.48;1.92;0.55
Week247;0.63;1.49;2.03;1.23;1.8;2.09
Week248;1.17;0.72;1.37;-0.7;-0.62;-0.62
Week249;-0.39;-0.07;0.16;-2.26;-1.5;-0.8
Week250;1.44;1.55;0.87;1.54;1.5;0.97
Week251;2.75;1.92;1.77;-0.01;0.61;0.07
Week252;2.46;2.11;2.44;2.74;2.33;2.16
Week253;2.52;2.21;2.72;0.47;0.57;0.93
Week254;1.91;1.59;1.65;2.06;2.51;1.76
Week255;1.6;1.96;1.75;-0.6;0;-0.29
Week256;1.88;1.8;1.91;1.96;1.93;1.81
Week257;2.75;2.1;1.48;0.94;0.73;-0.18
Week258;-2.49;-1.79;-0.69;-2.78;-2.22;-1.22
Week259;-0.7;-0.09;0.57;-0.37;0.2;-0.11
Week260;-3.53;-2.76;-2.05;-3.65;-3.45;-2.27
Week261;-0.32;-0.16;0.13;0.9;0.89;0.61
Week262;-2.9;-1.6;-1.08;-0.96;-1;0
Week263;0.35;0.34;0.53;2.16;2.55;2.52
Week264;-1.43;-0.98;-0.4;-1.29;-0.43;0.35
Week265;-1.3;0.06;-0.27;2.58;2.98;0.95
Week266;-5.16;-3.18;-2.14;-5.14;-2.36;-1.33
