Week;SmallME-LowBE/ME;SmallME-MedBE/ME;SmallME-HighBE/ME;BigME-LowBE/ME;BigME-MedBE/ME;BigME-HighBE/ME
Week369;1.68;0.73;0.57;1.52;0.5;1.16
Week370;3.48;1.1;0.51;-0.6;-2.84;-2.75
Week371;1.09;0.28;0.13;-0.35;-0.56;0.96
Week372;2.38;0.96;0.51;3.3;1.76;1.29
Week373;5.03;3.92;3.62;2.45;2.51;2.08
Week374;1.81;1.16;2.66;-2.11;-1.22;-0.08
Week375;3.99;2.02;3;3.05;0.7;0.32
Week376;6.8;2.78;3.3;-0.36;-1.44;-0.17
Week377;-2;-0.81;-0.39;-5.09;-3.43;-4.69
Week378;3.99;2.18;3.05;3.66;1.65;0.83
Week379;4.5;2.25;3.04;-1.71;-3.75;-4.42
Week380;4.55;1.71;2.09;-1.14;-1.95;-1.36
Week381;1.51;0.29;0.84;0.71;-2.29;-2.83
Week382;8.64;4.55;5.46;5.09;3.64;4.8
Week383;1.13;1.27;2;-0.5;-0.8;-1.09
Week384;-3.72;-0.68;-0.67;5.25;7.82;5.2
Week385;-0.68;0.25;-0.34;1.71;2.23;2.45
Week386;-4.6;-2.62;-2.62;-0.48;2.2;3.84
Week387;-3.25;-0.57;-1.38;0.35;0.01;-0.62
Week388;-17.63;-9.84;-9;-10.63;-3.6;-2.82
Week389;6.4;4.35;3.69;5.36;2.83;2.21
Week390;1.82;1.86;1.61;3.29;2.06;3.42
Week391;1.45;0.45;0.14;-0.03;0.11;0.66
Week392;-3.63;-1.8;-1.65;-1.18;0.95;2.38
Week393;-2.09;-1.28;-0.91;-1.16;-0.93;-0.22
Week394;-7.05;-3.53;-3.4;-2.29;-0.53;-2.05
Week395;8.99;4.97;4.32;10.11;5.01;2.45
Week396;4.52;2.79;2.81;-1.56;-1.75;-0.66
Week397;-1.75;-0.69;0.05;-0.75;-0.86;-0.43
Week398;0.41;-0.29;-0.67;-1.3;-1.95;-1.99
Week399;1.9;1.45;0.41;1.07;-1.73;-1.95
Week400;0.92;0.87;0.78;1.35;3.21;4.11
Week401;2.57;2.03;2.05;4.84;2.56;2.01
Week402;-1.89;-0.36;0.24;-4.46;-2.43;-1.32
Week403;-8.59;-2.76;-2.21;-8.35;-1.69;-0.82
Week404;-0.15;0.97;0.4;3.23;4.17;4.39
Week405;-0.04;0.9;1.31;0.67;2.2;3.01
Week406;1.25;0.82;1.02;2.84;0.89;-0.27
Week407;3.42;1.03;1.2;2.64;0.26;-0.96
Week408;5.39;2.37;1.96;3.77;1.42;1.37
Week409;-0.65;0.68;0.63;-2.87;1.3;2.69
Week410;-1.44;0.08;0.16;-1.58;-0.67;-0.02
Week411;-4.59;-2.33;-2.55;-1.99;-3.95;-3.48
Week412;-3.02;-0.46;-0.15;-0.96;2.48;1.69
Week413;-7;-2.75;-2.91;-7.33;-2.45;-1.99
Week414;-5.84;-2.92;-2.77;-2.51;-1.54;-1.93
Week415;1.88;0.27;-0.58;2.83;0.6;0.24
Week416;-0.48;0.31;0.2;-2.16;-0.07;1.2
Week417;4.48;2.67;2.4;8.02;5.26;4.36
Week418;-5.57;-1.62;-1.34;-8.07;-1.56;-1.14
Week419;-3.12;-0.69;-0.52;-0.78;0.97;1.13
Week420;-5.42;-1.98;-1.97;-3.83;-0.83;-0.37
Week421;-8.53;-3.16;-2.94;-5.36;-0.41;0.31
Week422;1.48;0.86;-0.18;7.86;2.94;2.33
Week423;-4.25;-1.77;-0.84;-5.74;-2.98;-1.42
Week424;-9.29;-2.68;-2.97;-3.95;4.94;3.95
Week425;3.21;3.62;3.6;3.27;4.31;4.16
Week426;10.38;5.76;6.09;-2.46;-2.45;-3.36
Week427;12.92;4.73;4.81;10.75;1.12;0.54
Week428;7.73;3.04;2.86;2.65;-0.89;-0.29
Week429;2.49;2.76;2.66;1.87;3.19;3.81
Week430;0.55;1.82;2.18;-1.44;1.53;1.26
Week431;-3.62;-0.01;0.19;-4.48;0.53;2.16
Week432;-1.52;0.61;0.58;-0.75;0.23;0.32
Week433;-5.74;-2.95;-2.12;-6.08;-3.35;-1.65
Week434;-2.1;0;0.47;-2.68;1.91;2.03
Week435;-1.65;0.51;0.85;-2.75;1.41;1.3
Week436;-7.5;-3.66;-2.71;-9.29;-5.74;-5.13
Week437;-0.83;-0.84;-1.11;1.83;-1.33;-2.27
Week438;0.33;1.74;1.21;-1.36;1.55;3.65
Week439;-5.82;-3.05;-2.78;-7.36;-2.34;-1.92
Week440;7.09;2.52;1.54;11.65;4.17;2.92
Week441;6.33;2.08;1.67;9.58;2.3;1.21
Week442;3.1;2.5;2.22;0.24;2.88;2.94
Week443;5.07;2.14;2.66;5.22;0.41;0.47
Week444;0.67;1.31;1.73;-2.38;-0.38;0.88
Week445;1.45;2.44;2.28;4.48;4.22;2.59
Week446;3.59;1.67;2;2.57;-0.69;-0.63
Week447;-1.81;0.34;0.31;-3.64;-0.66;-0.01
Week448;2.97;1.12;1.37;2.07;0.04;-0.38
Week449;-3.25;-1.06;-0.7;-7.13;-2.55;-2.1
Week450;-2.92;-0.4;-0.9;-1.63;-0.98;-0.56
Week451;4.74;2.98;1.59;6.53;1.33;1.07
Week452;-5.08;-2.86;-1.22;-4.75;-1.92;-1.72
Week453;0.15;0.78;0.65;1.52;1.22;1.45
Week454;-1.12;-0.1;0.41;-1.43;-1.04;-1.34
Week455;-1.68;-0.75;-0.18;0.75;0.23;-0.65
Week456;0.28;0.89;0.97;0.14;1.45;1.59
Week457;-3.98;-1.57;-0.89;-3.85;-1.93;-1.43
Week458;-2.42;0.05;-0.72;-2.03;-0.37;-0.71
Week459;0.3;-0.23;0.07;1.99;0.71;0.35
Week460;-2.58;-1.26;-0.92;-3.61;-1.88;-1.61
Week461;-6.18;-3.32;-3.12;-5.8;-3.87;-3.41
Week462;-1.03;-0.89;-0.52;-0.25;-0.53;-0.79
Week463;-14.53;10.99;-11.13;-13.46;13.11;-14.67
Week464;4.75;4.36;4.24;5.28;6.47;6.13
Week465;5.44;2.26;1.12;5.61;3.25;3.62
Week466;5.01;2.16;2.31;5.57;2.71;2.53
Week467;0.49;0.62;0.92;-1.82;-1.8;-1.95
Week468;4.7;3.05;1.71;5.2;3.04;1.99
Week469;-0.64;-0.33;0.16;-2.54;-1.3;-1.04
Week470;2.18;1.88;1.57;3.7;2.6;2.21
Week471;3.53;2.22;2.46;3.53;2.12;5.22
Week472;2.06;1.6;1.46;1.47;1.12;1.12
Week473;0.89;0.84;0.71;-0.16;-0.08;-0.7
Week474;3.68;2.96;2.13;4.35;3.81;2.55
Week475;-0.96;-0.2;0.04;-3.26;-2.31;-3.53
Week476;2.02;1.27;0.47;1.44;2.09;2.12
Week477;3.53;2.32;2.26;2.9;2.49;2.73
Week478;3.66;3.25;4.95;0.95;1.42;2.07
Week479;-0.68;0.85;1.95;-2.51;-2.04;-2.84
Week480;-4.28;-1.94;-0.87;-3.48;-2.19;-2.9
Week481;-0.59;0.72;0.48;1.49;1.8;1.14
Week482;-0.98;0.1;0.55;-0.86;-0.21;0.89
Week483;-5.06;-2.8;-1.85;-3.65;-2.42;-3.02
Week484;-0.32;0.39;0.29;0.56;1.43;0.96
Week485;-2.81;-0.95;-1.1;-2.69;-1.16;0.34
Week486;1.31;1.95;1.48;4.02;4.06;4.17
Week487;5.67;3.63;3.21;6.44;4.61;4.98
Week488;-0.06;1.15;1.44;-0.79;-0.07;-0.11
Week489;0.86;0.77;1.38;-0.41;-0.3;-0.95
Week490;-0.05;0.96;1.32;0.13;0.73;0.81
Week491;-3.21;-0.66;0.24;-3.23;-1.77;-1.83
Week492;0.04;1.99;1.74;0.3;1.15;1.59
Week493;1.83;1.44;2.35;1.92;1.37;0.24
Week494;-4.71;-1.73;-0.92;-4.49;-2.81;-3.62
Week495;-0.79;1.05;0.61;-1.22;0.43;-0.38
Week496;-3.9;-1.93;-0.75;-1.83;-2.21;-1.53
Week497;2.34;2.02;1.83;5.32;3.36;3.2
Week498;-3.28;-1.73;-0.73;-2.96;-1.11;0.02
Week499;-1.29;-0.43;-0.11;-1.51;-1.65;-1.86
Week500;-5.4;-3.37;-2.1;-4.25;-3.73;-2.78
Week501;-3.32;-1.87;-1.44;-3.39;-2.47;-2.79
Week502;-0.96;-0.13;-0.07;-2.72;-0.71;-0.47
Week503;-0.06;0.7;0.02;-0.07;-0.53;-0.6
Week504;-5.55;-3.29;-2.58;-1.46;-1.66;-2.73
Week505;-5.15;-3.88;-2.9;-6.49;-5.94;-6.71
Week506;-3.92;-4.9;-3.37;-6.29;-7;-6.67
Week507;-2.81;-2.98;-3.93;0.39;-1.61;-2.47
Week508;-0.96;-0.74;0.7;0.24;2.41;1.24
Week509;1.38;1.59;0.1;3.69;4.54;3.72
Week510;1.42;1.23;0.71;3.54;2.37;2.08
Week511;3.23;2.39;2.45;1.32;1.76;4.12
Week512;-1.73;-0.82;-0.64;-2.92;-1.99;-1.55
Week513;-0.79;-0.91;-1.25;-0.94;-1.42;-2.13
Week514;0.25;-0.77;-0.2;-0.55;-1.14;-0.66
Week515;-6.04;-4.26;-3.3;-5.43;-5.83;-6.03
Week516;-3.38;-2.36;-2.43;-1.18;-1.56;-3.54
Week517;-3.99;-2.79;-2.01;-5.74;-5.13;-5.79
Week518;-1.88;-2.13;-2.62;4.95;1.9;0.15
Week519;7.59;4.75;3.98;6.1;5.41;3.48
Week520;4.56;3.7;2.79;2.7;2.93;3.35
Week521;5.13;3.77;2.35;1.02;1.99;1.23
Week522;2.66;1.34;2.45;-1.75;-1.47;-0.37
Week523;1.8;0.64;0.77;3.35;2.07;1.74
